permutation,edge_value_permutation,region_label_permutation,distance_matched_edge_permutation
0,-0.002102694789673906,0.0019431703461006986,-0.004864950619675779
1,-0.005519474250921567,0.012317352787783961,-0.003587686434752248
2,0.0006487726281851496,0.00841820732544713,0.002552529595702473
3,-0.003545733958553158,0.0040484131596598295,0.006248166819167684
4,0.003335613928966804,0.00400124639087084,0.004131759596072264
5,-8.737304515894874e-05,-0.0068855630381465084,0.0025408657314745092
6,0.006163713039874129,-0.0061539123322111216,-0.0030487293687083542
7,0.0027972464790414213,-0.007174805265774975,-0.005874898209218699
8,-0.005698929882005149,0.00863825413997927,0.000571319572876136
9,-0.0018240657383077061,0.004669705536566306,0.003041489926517656
10,-0.0046329494767441415,-0.0035372865704960004,-0.0021583923380415733
11,-0.004736304134607288,0.003268989206513756,0.0017053318481510822
12,0.0027925610261622063,0.002256576340476845,0.000688708612473331
13,0.0005634070107447632,0.004739324290352657,0.0011370697539517846
14,0.00035974388134832666,-0.001477772382557834,-0.0019872659331829834
15,-0.0019486218932695766,0.0071143457669172626,0.005399341639264459
16,0.007504677764947058,0.005036771798842211,0.010307584753116139
17,-0.0010546423733557052,0.0013031708492466448,-0.01012901068665375
18,-0.005181538228378445,-0.007091672972514136,0.004731119474519642
19,-0.006432130897618882,0.008395486937216366,-0.007115946599563384
20,0.010160478787340332,-0.0031178017359352896,0.004161053016591513
21,-0.0006565667074063013,0.00017126325610934877,0.007428460008880352
22,-0.003892184907340696,-0.0039039999689236583,-0.0007482039549759047
23,-0.0007704576205986221,-0.004024642990103494,0.002905036410951908
24,-0.002052688793340768,-0.014581789378147768,0.00452841749119993
25,0.005287310431138959,-0.0005782379526933524,0.0001872551559688231
26,0.0027584291577444774,0.0007880530838271123,0.0028967640109109926
27,0.0004884543100225368,-0.010719657700381047,6.062057228959464e-05
28,-0.002744553323480448,0.00019557735974821684,-0.000764354662197874
29,0.0026284393921158504,0.010005236536518757,0.0005712930694239487
30,-0.0013904855272404714,0.0038703134288711285,-0.001377384809573949
31,-0.0014817375141637043,-0.0012535015904480238,-0.004706341652442183
32,0.0017946857318131828,0.004238640728291555,0.0015936003109124658
33,0.001959010645434203,0.0015802554416093652,-0.007670935917977576
34,-0.007987747207118222,-0.0014693206784863093,0.004096867546520777
35,0.0027818016800920855,0.0007879629775266267,0.0005341709002502296
36,0.003507430186378384,-0.008502928313005217,-0.004537875472486667
37,0.0026525374919034624,-0.0029381590000310803,0.007479046738560889
38,0.0020125586552651336,0.010964963039188104,-0.005240505986956121
39,-0.0021391768529742347,0.0002989063739591729,0.004159330222832293
40,-0.002367628769188486,-0.00033721319913472965,0.003557722086526514
41,-0.011820149227556288,-0.00022493232858869722,-0.002423242263867451
42,-0.0013652407115473844,-0.0013143824841851358,-0.005412680062533304
43,-0.005528247430842319,0.0007880698766047821,-0.0007489483383457636
44,0.0009027016919762491,0.00623697349960442,-0.00234976851700249
45,-0.002925135605460965,-1.981326220672873e-06,0.0012763041641047702
46,0.0020795592783309814,-0.0016363594561576624,0.0007626135057453891
47,0.014058880594812336,0.005740599752424836,0.007507956257723671
48,0.0016878086189079863,-0.007284068102069444,0.003285703865122159
49,-0.00661381601376284,-0.003034038073653315,-0.0017017791676184812
50,4.604100336407746e-05,-0.0013259113404183193,-0.008160279128264442
51,-0.004977404445275542,-0.005607995131105179,0.005443128013461876
52,0.0026515872675076956,0.001788471208568415,0.001406355996688863
53,-0.0025223490472957664,0.00795131213002968,0.0043444285557504405
54,-0.0036470078354752127,-0.003239547065437173,-0.005234864508040949
55,-0.0005345595760138915,-0.0029898454984189477,0.0017621383613313692
56,0.0010796008612127264,0.009316817254321277,0.004377331665442757
57,0.001420701224241239,0.0020145007310817357,0.0030521779530253246
58,-0.001518119276127501,-0.00643779073903302,-0.0024312456077646605
59,0.0030725945934841578,-0.003952569748236644,0.0013740365007841391
60,0.002148381215651277,-0.007284255528513496,-0.0003614664671328396
61,0.010980363003889923,0.0015487705444837292,0.005836658746988626
62,0.0041040395210294725,0.0024325496215264557,-0.00022302129490218503
63,-0.0011941591466367366,0.0011416001500401108,0.0017316405926249142
64,0.002988192978079512,0.0006980070810167428,0.0075684586360012
65,-0.005356150128254623,0.0004080361650593307,0.008069307587070454
66,0.0013512545953640088,-0.008218012820813704,-0.000630613946607458
67,-0.006836150384416745,-0.0026436611328290102,-0.002562139615565514
68,-0.002009808678338908,-0.00573013343738816,-0.00177473818196458
69,0.008752854821415568,-0.006466582462526158,0.0013245870904161237
70,0.002549244813601127,0.004833222573535697,0.007378619440078134
71,0.004503501691212458,0.0005138883416179844,0.004703142099306354
72,0.009107730553674656,-0.0010208237374703022,0.013973362400543846
