subject_id,ec_path,metric,transform,pearson_r,mse,mae,n_edges_total,n_edges_used,ec_mean,ec_sd,ccep_mean,ccep_sd
106824,validation_results\106824\reproduce_0866_106824\ec.npy,amplitude,identity,0.022342778118854496,57.98308787646471,7.444609222602054,129240,20807,0.028015182646181257,0.2972193519384176,7.472624405248234,1.5790866208494914
106824,validation_results\106824\reproduce_0866_106824\ec.npy,amplitude,abs_ec_align_ccep,0.02515673479768946,55.037628613662164,7.247162861588855,129240,20807,0.2254615436593792,0.19568159329922083,7.472624405248234,1.5790866208494914
106824,validation_results\106824\reproduce_0866_106824\ec.npy,amplitude,abs_ccep_align_ec,0.7408817768226892,55.037628613662164,7.247162861588855,129240,20807,0.028015182646181257,0.2972193519384176,0.5241996443504591,7.6196354762495195
106824,validation_results\106824\reproduce_0866_106824\ec.npy,probability,identity,0.03331619210754378,0.17929097088576057,0.326162589440756,129240,51931,0.018626983542816677,0.2913224619081457,0.23014101403785792,0.23281606562422588
106824,validation_results\106824\reproduce_0866_106824\ec.npy,probability,abs_ec_align_ccep,0.20224236308826085,0.07580519334767055,0.18885481847080793,129240,51931,0.1847579432303085,0.1945955169894149,0.23014101403785792,0.23281606562422588
106824,validation_results\106824\reproduce_0866_106824\ec.npy,probability,abs_ccep_align_ec,0.5395925043061288,0.08901802185672635,0.22428400926478853,129240,51931,0.018626983542816677,0.2913224619081457,0.014759681115326103,0.32703265673093146
117021,validation_results\117021\reproduce_0866_117021\ec.npy,amplitude,identity,0.036087567116328295,58.115272215868316,7.454101619495564,129240,20807,0.018522785752669198,0.30472324201021295,7.472624405248234,1.5790866208494914
117021,validation_results\117021\reproduce_0866_117021\ec.npy,amplitude,abs_ec_align_ccep,0.03438773603982108,54.94330318856791,7.240983532397242,129240,20807,0.23164087285099294,0.1988513360228797,7.472624405248234,1.5790866208494914
117021,validation_results\117021\reproduce_0866_117021\ec.npy,amplitude,abs_ccep_align_ec,0.7463389341601273,54.94330318856791,7.240983532397242,129240,20807,0.018522785752669198,0.30472324201021295,0.3625913394530687,7.629033856171501
117021,validation_results\117021\reproduce_0866_117021\ec.npy,probability,identity,0.041613376545380276,0.18787003974127642,0.3354275916583839,129240,51931,0.010286911192694304,0.3019633987742673,0.23014101403785792,0.23281606562422588
117021,validation_results\117021\reproduce_0866_117021\ec.npy,probability,abs_ec_align_ccep,0.19663227473771644,0.07747858193168314,0.19177629577948016,129240,51931,0.1921808623844274,0.20047245953282453,0.23014101403785792,0.23281606562422588
117021,validation_results\117021\reproduce_0866_117021\ec.npy,probability,abs_ccep_align_ec,0.5393943458354167,0.0916436057749145,0.2286377474567983,129240,51931,0.010286911192694304,0.3019633987742673,0.01157356877395005,0.32716090729326447
123723,validation_results\123723\reproduce_0866_123723\ec.npy,amplitude,identity,0.02133267172819262,58.06216374649575,7.449487223699373,129240,20807,0.02313718154885969,0.3074087151995788,7.472624405248234,1.5790866208494914
123723,validation_results\123723\reproduce_0866_123723\ec.npy,amplitude,abs_ec_align_ccep,0.03704972774497723,54.87271887657257,7.236242118004329,129240,20807,0.23638228724390437,0.19788598138327265,7.472624405248234,1.5790866208494914
123723,validation_results\123723\reproduce_0866_123723\ec.npy,amplitude,abs_ccep_align_ec,0.7545082293196299,54.87271887657257,7.236242118004329,129240,20807,0.02313718154885969,0.3074087151995788,0.3698823472869707,7.628683838462757
