comparison,n,bonferroni_family_size,mean_delta_condition_minus_full,sd_delta_condition_minus_full,mean_delta_full_minus_condition,sd_delta_full_minus_condition,paired_t_statistic_condition_minus_full,paired_t_pvalue,paired_t_pvalue_bonferroni,wilcoxon_statistic,wilcoxon_pvalue,wilcoxon_pvalue_bonferroni
dot_h60_fc05_vs_full_mgka_h60_fc05,25,3,-0.0869652,0.14226205514530804,0.0869652,0.14226205514530804,-3.0565142585341105,0.005423886852470267,0.016271660557410802,28.0,8.803606033325195e-05,0.00026410818099975586
mgka_h60_fc00_vs_full_mgka_h60_fc05,25,3,0.014974000000000008,0.07439240952543479,-0.014974000000000008,0.07439240952543479,1.0064198817811105,0.3242534171918602,0.9727602515755805,149.0,0.7309892177581787,1.0
mgka_h30_fc05_vs_full_mgka_h60_fc05,25,3,-0.0137418,0.0633321816752747,0.0137418,0.0633321816752747,-1.084898675246876,0.28874467524106817,0.8662340257232045,87.0,0.04215019941329956,0.12645059823989868
