subject_id,comparison,pearson_r,pearson_p,spearman_r,spearman_p,n_pairs
106824,Perturbational EC vs Pearson FC,0.02416383609908168,3.686320973615683e-18,0.023430197697142743,3.6315262662930265e-17,129240
106824,Perturbational EC vs partial correlation,0.2483060017707594,0.0,0.18429876897431044,0.0,129240
106824,Partial correlation vs Pearson FC,0.12464994115092413,0.0,0.12204859878716712,0.0,129240
117021,Perturbational EC vs Pearson FC,0.024364252111344808,1.9498083745081647e-18,0.022632271930910854,4.043326070671135e-16,129240
117021,Perturbational EC vs partial correlation,0.24186512361132886,0.0,0.1840221607998925,0.0,129240
117021,Partial correlation vs Pearson FC,0.11910943517964014,0.0,0.11526082311618242,0.0,129240
123723,Perturbational EC vs Pearson FC,0.038407216414018626,2.147311780954937e-43,0.03598221611244914,2.6882015381545e-38,129240
123723,Perturbational EC vs partial correlation,0.23142622326866163,0.0,0.18270505670558868,0.0,129240
123723,Partial correlation vs Pearson FC,0.173237706389374,0.0,0.16538802046364842,0.0,129240
136631,Perturbational EC vs Pearson FC,0.023610415270792145,2.0835596300507132e-17,0.021143643816688065,2.9179433001439724e-14,129240
136631,Perturbational EC vs partial correlation,0.23257455364450927,0.0,0.18239943941545797,0.0,129240
136631,Partial correlation vs Pearson FC,0.13046314666596967,0.0,0.1209156424166906,0.0,129240
151930,Perturbational EC vs Pearson FC,0.019437870945551636,2.778397844754288e-12,0.017830949984502076,1.448834708487378e-10,129240
151930,Perturbational EC vs partial correlation,0.2727852554925587,0.0,0.2035915196092165,0.0,129240
151930,Partial correlation vs Pearson FC,0.1409577818566088,0.0,0.14066282048130835,0.0,129240
152225,Perturbational EC vs Pearson FC,0.030206366327519635,1.757379056462906e-27,0.030004507270067753,3.882649018084411e-27,129240
152225,Perturbational EC vs partial correlation,0.1714738609115126,0.0,0.12457793297164799,0.0,129240
152225,Partial correlation vs Pearson FC,0.1372331220046405,0.0,0.12694147498670996,0.0,129240
